Title,Rating,Year,Genre,Director
Die Hard,8.2,1988,,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
L.A. Confidential,8.2,1997,,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
Taxi Driver,8.2,1976,,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
Indi Jônzu: Saigo no seisen,8.2,1989,,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
Snatch,8.2,2000,,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
Jitensha dorobô,8.2,1948,,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
Taare Zameen Par,8.2,2007,,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
1917,8.2,2019,,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
Top Gun: Maverick,8.2,2022,,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
Hitorâ: Saigo no 12nichi kan,8.2,2004,,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
Dangal,8.2,2016,,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
Yuuhi no ganman,8.2,1965,,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
Batman Begins,8.2,2005,,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
The Kid,8.2,1921,,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
O atsui no ga o suki,8.2,1959,,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
The Father,8.2,2020,,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
Eve no subete,8.2,1950,,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
The Wolf of Wall Street,8.2,2013,,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
Green Book,8.2,2018,,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
Judgment at Nuremberg,8.2,1961,,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
Guardians of the Galaxy Vol. 3,8.2,2023,,"James Gunn (dir.), Chris Pratt, Chukwudi Iwuji"
Ran,8.2,1985,,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
Casino,8.2,1995,,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
The Truman Show,8.2,1998,,"Peter Weir (dir.), Jim Carrey, Ed Harris"
There Will Be Blood,8.2,2007,,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
Pan's Labyrinth,8.2,2006,,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
Yurusarezaru mono,8.2,1992,,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
Shutter Island,8.2,2010,,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
Shikkusu sensu,8.2,1999,,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
Jurashikku pâku,8.2,1993,,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
A Beautiful Mind,8.2,2001,,"Ron Howard (dir.), Russell Crowe, Ed Harris"
Yôjinbô,8.1,1961,,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
Ougon,8.1,1948,,"John Huston (dir.), Humphrey Bogart, Walter Huston"
Monti Paison ando hôrii gurairu,8.1,1975,,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
Nô kantorî,8.1,2007,,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
Kill Bill: Vol. 1,8.1,2003,,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
Dai Dassô,8.1,1963,,"John Sturges (dir.), Steve McQueen, James Garner"
Rashômon,8.1,1950,,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
遊星からの物体X,8.1,1982,,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
Finding Nemo,8.1,2003,,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
スパイダーマン: ノー・ウェイ・ホーム,8.1,2021,,"Jon Watts (dir.), Tom Holland, Zendaya"
The Elephant Man,8.1,1980,,"David Lynch (dir.), Anthony Hopkins, John Hurt"
Chinatown,8.1,1974,,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
Raging Bull,8.1,1980,,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
V fô vendetta,8.1,2005,,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
Kaze to tomo ni sarinu,8.1,1939,,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
Daiyaru emu wo mawase!,8.1,1954,,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
"Lock, Stock and Two Smoking Barrels",8.1,1998,,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
Inside Head,8.1,2015,,"Pete Docter (dir.), Amy Poehler, Bill Hader"
Hauru no ugoku shiro,8.1,2004,,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
El secreto de sus ojos,8.1,2009,,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
"Three Billboards Outside Ebbing, Missouri",8.1,2017,,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
Trainspotting,8.1,1996,,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
Senjô ni kakeru hashi,8.1,1957,,"David Lean (dir.), William Holden, Alec Guinness"
Purizunâzu,8.1,2013,,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
Fâgo,8.1,1996,,"Joel Coen (dir.), William H. Macy, Frances McDormand"
Warrior,8.1,2011,,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
Gran Torino,8.1,2008,,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
Catch Me If You Can,8.1,2002,,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
Tonari no Totoro,8.1,1988,,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
Million Dollar Baby,8.1,2004,,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
運動靴と赤い金魚,8.1,1997,,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
Burêdo rannâ,8.1,1982,,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
Chaplin no Ôgonkyô Jidai,8.1,1925,,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
Klaus,8.1,2019,,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
Harî Pottâ to shi no hihô: Part 2,8.1,2011,,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
Before Sunrise,8.1,1995,,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
Sore Demo Yoru Ha Akeru,8.1,2013,,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
Ben-Hur,8.1,1959,,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
The Grand Budapest Hotel,8.1,2014,,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
On the Waterfront,8.1,1954,,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
Gone Girl,8.1,2014,,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
Smultronstället,8.1,1957,,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
Keaton no Dai Ressha Tsuiseki,8.1,1926,,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
Barry Lyndon,8.1,1975,,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
In the Name of the Father,8.1,1993,,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
The Deer Hunter,8.1,1978,,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
Hacksaw Ridge,8.1,2016,,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
Daisan no otoko,8.1,1949,,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
Kyôfu no hôshû,8.1,1953,,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
Satsujin no tsuioku,8.1,2003,,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
Relatos salvajes,8.1,2014,,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
Keaton no Tantei gaku Nyûmon,8.1,1924,,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
Sumisu miyako e yuku,8.1,1939,,"Frank Capra (dir.), James Stewart, Jean Arthur"
John Wick: Chapter 4,8.1,2023,,"Chad Stahelski (dir.), Keanu Reeves, Laurence Fishburne"
Mad Max: Fury Road,8.1,2015,,"George Miller (dir.), Tom Hardy, Charlize Theron"
Mary and Max.,8.1,2009,,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
